post_id,title,post_type,status,post_date,post_date_gmt,post_modified,slug,old_url,suggested_new_url,creator,parent_id,categories,tags,review_note
2,Home,page,publish,2022-08-19 07:49:35,2022-08-19 07:49:35,2022-08-19 07:49:35,home,https://zemelaarblog.wordpress.com/home/,https://zemelaar.blog/,ttcremers,0,,,manual_review: WordPress structural page
21,Striduleren dan wel tjirpen,post,publish,2022-07-20 11:23:41,2022-07-20 09:23:41,2022-09-01 16:06:50,striduleren-dan-wel-tjirpen,https://zemelaarblog.wordpress.com/2022/07/20/striduleren-dan-wel-tjirpen/,https://zemelaar.blog/striduleren-dan-wel-tjirpen/,ttcremers,0,Uncategorized,,
25,Het vis vraagstuk,post,publish,2022-07-20 22:06:22,2022-07-20 20:06:22,2022-09-01 16:11:21,het-vis-vraagstuk,https://zemelaarblog.wordpress.com/2022/07/20/het-vis-vraagstuk/,https://zemelaar.blog/het-vis-vraagstuk/,ttcremers,0,Uncategorized,,
35,Ook hier vallen ze van het dak,post,publish,2022-07-22 21:43:21,2022-07-22 19:43:21,2022-07-24 13:28:54,ook-hier-vallen-ze-van-het-dak,https://zemelaarblog.wordpress.com/2022/07/22/ook-hier-vallen-ze-van-het-dak/,https://zemelaar.blog/ook-hier-vallen-ze-van-het-dak/,ttcremers,0,Uncategorized,,
50,De gouden vloeistof van de goden,post,publish,2022-07-27 23:07:57,2022-07-27 22:07:57,2023-03-14 18:20:57,de-gouden-vloeistof-van-de-goden,https://zemelaarblog.wordpress.com/2022/07/27/de-gouden-vloeistof-van-de-goden/,https://zemelaar.blog/de-gouden-vloeistof-van-de-goden/,ttcremers,0,Uncategorized,herinnering; Petrichor; regen; zomer,
78,Sap van gefermenteerde druiven,post,publish,2022-08-08 21:34:35,2022-08-08 19:34:35,2022-08-30 15:48:22,sap-van-gefermenteerde-druiven,https://zemelaarblog.wordpress.com/2022/08/08/sap-van-gefermenteerde-druiven/,https://zemelaar.blog/sap-van-gefermenteerde-druiven/,ttcremers,0,Uncategorized,,
114,Blog,page,publish,2022-08-23 17:50:13,2022-08-23 15:50:13,2026-01-20 21:54:27,blog,https://zemelaarblog.wordpress.com/,https://zemelaar.blog/,ttcremers,0,,,manual_review: WordPress structural page
177,Stikstofcrises,post,publish,2022-10-23 18:20:36,2022-10-23 16:20:36,2022-10-23 18:20:36,stikstofcrises,https://zemelaarblog.wordpress.com/2022/10/23/stikstofcrises/,https://zemelaar.blog/stikstofcrises/,ttcremers,0,Geen categorie,,
203,Pervers aspirant wipkonijn,post,publish,2023-08-14 23:12:53,2023-08-14 21:12:53,2023-08-16 10:34:35,pervers-aspirant-wipkonijn,https://zemelaarblog.wordpress.com/2023/08/14/pervers-aspirant-wipkonijn/,https://zemelaar.blog/pervers-aspirant-wipkonijn/,ttcremers,0,Geen categorie,blauwe ogen; blond haar; erfelijkheid; genetica; groene ogen; humor; menselijke diversiteit; menselijke evolutie; oogkleur,
212,Zaaien met gratis zaad,post,publish,2024-01-02 23:18:47,2024-01-02 22:18:47,2024-01-03 09:18:42,zaaien-met-gratis-zaad,https://zemelaarblog.wordpress.com/2024/01/02/zaaien-met-gratis-zaad/,https://zemelaar.blog/zaaien-met-gratis-zaad/,ttcremers,0,Geen categorie,herinnering; persoonlijk; verhaaltje; world wide web,
216,Gunstig effect,post,publish,2024-04-19 20:05:46,2024-04-19 18:05:46,2024-04-19 20:11:53,profijt,https://zemelaarblog.wordpress.com/2024/04/19/profijt/,https://zemelaar.blog/profijt/,ttcremers,0,Geen categorie,,
220,"Roze op het strand, roze in het pashokje",post,publish,2024-05-21 16:06:44,2024-05-21 14:06:44,2024-05-21 17:29:53,roze-op-het-strand-roze-in-het-pashokje,https://zemelaarblog.wordpress.com/2024/05/21/roze-op-het-strand-roze-in-het-pashokje/,https://zemelaar.blog/roze-op-het-strand-roze-in-het-pashokje/,ttcremers,0,Geen categorie,,
224,Memento mori,post,publish,2024-05-29 13:08:03,2024-05-29 11:08:03,2024-05-29 13:08:03,memento-mori,https://zemelaarblog.wordpress.com/2024/05/29/memento-mori/,https://zemelaar.blog/memento-mori/,ttcremers,0,Geen categorie,,
228,Brievenbus Mysteries en Ongewenste Deposities,post,publish,2024-06-20 19:37:11,2024-06-20 17:37:11,2024-06-20 19:37:11,brievenbus-mysteries-en-ongewenste-deposities,https://zemelaarblog.wordpress.com/2024/06/20/brievenbus-mysteries-en-ongewenste-deposities/,https://zemelaar.blog/brievenbus-mysteries-en-ongewenste-deposities/,ttcremers,0,Geen categorie,,
232,Een waardeloze toerist,post,publish,2025-06-11 18:04:28,2025-06-11 16:04:28,2025-06-11 18:04:28,een-waardeloze-toerist,https://zemelaarblog.wordpress.com/2025/06/11/een-waardeloze-toerist/,https://zemelaar.blog/een-waardeloze-toerist/,ttcremers,0,Geen categorie,herinnering; reizen; toerisme; vakantie,
237,In den beginnen was er anus,post,publish,2025-06-27 00:29:00,2025-06-26 22:29:00,2025-06-27 00:29:01,in-den-beginnen-was-er-anus,https://zemelaarblog.wordpress.com/2025/06/27/in-den-beginnen-was-er-anus/,https://zemelaar.blog/in-den-beginnen-was-er-anus/,ttcremers,0,Geen categorie,,
239,Zijn ouwe zemelaars (eigen)wijs,post,publish,2025-06-28 11:38:35,2025-06-28 09:38:35,2025-06-28 11:38:35,zijn-ouwe-zemelaars-eigenwijs,https://zemelaarblog.wordpress.com/2025/06/28/zijn-ouwe-zemelaars-eigenwijs/,https://zemelaar.blog/zijn-ouwe-zemelaars-eigenwijs/,ttcremers,0,Geen categorie,,
249,Klets Kronieken,post,publish,2025-11-28 11:30:03,2025-11-28 10:30:03,2025-11-28 11:30:03,klets-kronieken,https://zemelaarblog.wordpress.com/2025/11/28/klets-kronieken/,https://zemelaar.blog/klets-kronieken/,ttcremers,0,Geen categorie,Groningen; herinnering; Memoire,
253,De schimmel van Sinterklaas,post,publish,2025-12-06 20:28:27,2025-12-06 19:28:27,2025-12-06 20:28:27,de-schimmel-van-sinterklaas,https://zemelaarblog.wordpress.com/2025/12/06/de-schimmel-van-sinterklaas/,https://zemelaar.blog/de-schimmel-van-sinterklaas/,ttcremers,0,Geen categorie,herinnering; Sinterklaas,
257,Oorkerst,post,publish,2025-12-30 11:58:28,2025-12-30 10:58:28,2025-12-30 11:58:28,oorkerst,https://zemelaarblog.wordpress.com/2025/12/30/oorkerst/,https://zemelaar.blog/oorkerst/,ttcremers,0,Geen categorie,herinnering; kerst; kerstvakantie; synthesizer; verhaaltje,
